rank	Youtuber	Channel_contents	Primary_Language	subscribers	video views	category	Title	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	video_views_for_the_last_30_days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers_for_last_30_days	created_year	created_month	created_date	Gross tertiary education enrollment (%)	Population	Unemployment rate	Urban_population	Latitude	Longitude
1	T-Series	A premier music label, T-Series has become a cultural phenomenon with its vast collection of Indian music, movie trailers, and clips. Known for high-production music videos that span multiple genres and languages.	Hindi	245000000	2,28E+11	Music	T-Series	20082	India	IN	Music	1	1	1	2258000000	564600	9000000	6800000	108400000	2000000	2006	Mar	13	281	1366417754	536	471031528	20593684	7896288
2	MrBeast	Led by philanthropist and entertainer Jimmy Donaldson, MrBeast is synonymous with large-scale stunts, charitable acts, and monetary challenge videos that captivate a global audience.	English	166000000	28368841870	Entertainment	MrBeast	741	United States	US	Entertainment	48	1	1	1348000000	337000	5400000	4000000	64700000	8000000	2012	Feb	20	882	328239523	147	270663028	3709024	-95712891
3	Cocomelon - Nursery Rhymes	Specializes in 3D animated videos of classic nursery rhymes and original children's songs, providing educational content in a fun and engaging animated format.	English	162000000	1,64E+11	Education	Cocomelon - Nursery Rhymes	966	United States	US	Education	2	2	1	1975000000	493800	7900000	5900000	94800000	1000000	2006	Sep	1	882	328239523	147	270663028	3709024	-95712891
4	SET India	A variety channel featuring a mix of reality TV, serialized dramas, and comedy. SET India brings a taste of Bollywood's drama and flair to YouTube.	Hindi	159000000	1,48E+11	Shows	SET India	116536	India	IN	Entertainment	3	2	2	1824000000	455900	7300000	5500000	87500000	1000000	2006	Sep	20	281	1366417754	536	471031528	20593684	7896288
5	Kids Diana Show	Chronicles the playful adventures of Diana and her family, blending storytelling with educational messages for young children.	English	112000000	93247040539	People & Blogs	Kids Diana Show	1111	United States	US	Entertainment	5	3	3	731674000	182900	2900000	2200000	35100000	0	2015	May	12	882	328239523	147	270663028	3709024	-95712891
6	PewDiePie	The channel of Felix Kjellberg, known for his comedic commentary on games and internet culture, with a dedicated global fan base.	English	111000000	29058044447	Gaming	PewDiePie	4716	Japan	JP	Entertainment	44	1	4	39184000	9800	156700	117600	1900000	0	2010	Apr	29	632	126226568	229	115782416	36204824	138252924
7	Like Nastya	Focuses on the adventures of Nastya and her parents, sharing stories and experiences that range from playtime to educational content, resonating with children worldwide.	English	106000000	90479060027	People & Blogs	Like Nastya Vlog	493	Russia	RU	People	630	5	25	48947000	12200	195800	146800	2300000	0	2016	Jan	14	819	144373535	459	107683889	6152401	105318756
8	Vlad and Niki	Two brothers sharing their imaginative play and day-to-day fun, encouraging creative play and family bonding.	English	98900000	77180169894	Entertainment	Vlad and Niki	574	United States	US	Entertainment	8	5	6	580574000	145100	2300000	1700000	27900000	0	2018	Apr	23	882	328239523	147	270663028	3709024	-95712891
9	Zee Music Company	One of India's leading music channels, featuring a wide range of music from Bollywood soundtracks to regional hits.	Hindi	96700000	57856289381	Music	Zee Music Company	8548	India	IN	Music	12	3	2	803613000	200900	3200000	2400000	38600000	0	2014	Mar	12	281	1366417754	536	471031528	20593684	7896288
10	WWE	The official channel for World Wrestling Entertainment, featuring match highlights, athlete interviews, and special event coverage.	English	96000000	77428473662	Sports	WWE	70127	United States	US	Sports	7	6	1	714614000	178700	2900000	2100000	34300000	0	2007	May	11	882	328239523	147	270663028	3709024	-95712891
